LTPProtein,FullIdentityOfLipid,rows_merged,kept_row,dropped_rows,candidates_after,screens
ATCAY,Sphingomyelin (d42:1);Sphingomyelin (DH42:1),2,798,877,2,in cellulo
ATCAY,Sphingomyelin (d33:1);Sphingomyelin (DH33:1),2,799,881,2,in cellulo
ATCAY,Sphingomyelin (d36:2);Sphingomyelin (DH36:2),2,801,878,5,in cellulo
ATCAY,Lysophosphatidylcholine (38:5); Phosphatidylcholine (O-38:5),2,818,1063,1,in cellulo
ATCAY,Sphingomyelin (d34:1);Sphingomyelin (DH34:1),2,822,1022,3,in cellulo
ATCAY,Lysophosphatidylcholine (36:4);Phosphatidylcholine (O-36:4),2,829,956,1,in cellulo
ATCAY,Lysophosphatidylcholine (18:1);Phosphatidylcholine (O-18:1),2,856,975,1,in vitro
ATCAY,Hexosyl ceramide (t40:2);Hexosyl ceramide (d40:2-OH),2,872,1007,5,in vitro
ATCAY,Hexosyl ceramide (t40:1);Hexosyl ceramide (d40:1-OH),2,874,1006,7,in vitro
ATCAY,Sphingomyelin (d34:2);Sphingomyelin (DH34:2),2,885,1023,3,in vitro
ATCAY,Sphingomyelin (d36:1);Sphingomyelin (DH36:1),2,888,1024,3,in vitro
ATCAY,Phosphatidylglycerol (32:1),3,891,1042;1065,15,in vitro
ATCAY,Bismonoacylglycerolphosphate (33:1);Phosphatidylglycerol (33:1),2,895,933,2,in vitro
ATCAY,Bismonoacylglycerolphosphate (34:3);Phosphatidylglycerol (34:3),2,926,984,2,in vitro
ATCAY,Bismonoacylglycerolphosphate (38:2);Phosphatidylglycerol (38:2),2,929,981,1,in vitro
ATCAY,Phosphatidylcholine (O-36:5); Lysophosphatidylcholine (36:5),2,949,1062,4,in vitro
ATCAY,Hexosyl ceramide (d42:1),2,998,999,8,in cellulo
ATCAY,Hexosyl ceramide (d42:2),2,1000,1001,4,in cellulo
ATCAY,Hexosyl ceramide (t42:1);Hexosyl ceramide (d42:1-OH),2,1009,1010,8,in cellulo
ATCAY,Hexosyl ceramide (t42:2);Hexosyl ceramide (d42:2-OH),2,1011,1012,4,in cellulo
ATCAY,Sphingomyelin (d40:1);Sphingomyelin (DH40:1),2,1025,1026,2,in cellulo
ATCAY,Sphingomyelin (d42:2);Sphingomyelin (DH42:2),2,1028,1029,2,in cellulo
BNIPL,Phosphatidylcholine (32:2),2,1070,1368,13,in cellulo
BNIPL,Bismonoacylglycerolphosphate (36:2);Phosphatidylglycerol (36:2),2,1099,1253,16,in cellulo
BNIPL,Sphingomyelin (d40:2);Sphingomyelin (DH40:2),2,1105,1338,3,in cellulo
BNIPL,Sphingomyelin (d42:3);Sphingomyelin (DH42:3),2,1106,1190,1,in cellulo
BNIPL,Sphingomyelin (d38:1);Sphingomyelin (DH38:1),2,1107,1194,2,in cellulo
BNIPL,Sphingomyelin (d41:2);Sphingomyelin (DH41:2),2,1108,1193,2,in cellulo
BNIPL,Sphingomyelin (d42:1);Sphingomyelin (DH42:1),2,1109,1188,2,in cellulo
BNIPL,Sphingomyelin (d33:1);Sphingomyelin (DH33:1),2,1110,1192,2,in cellulo
BNIPL,Sphingomyelin (d36:2);Sphingomyelin (DH36:2),2,1112,1189,5,in cellulo
BNIPL,Lysophosphatidylcholine (38:5); Phosphatidylcholine (O-38:5),2,1129,1374,1,in cellulo
BNIPL,Sphingomyelin (d34:1);Sphingomyelin (DH34:1),2,1133,1333,3,in cellulo
BNIPL,Lysophosphatidylcholine (36:4);Phosphatidylcholine (O-36:4),2,1140,1267,1,in cellulo
BNIPL,Lysophosphatidylcholine (18:1);Phosphatidylcholine (O-18:1),2,1167,1286,1,in vitro
BNIPL,Hexosyl ceramide (t40:2);Hexosyl ceramide (d40:2-OH),2,1183,1318,5,in vitro
BNIPL,Hexosyl ceramide (t40:1);Hexosyl ceramide (d40:1-OH),2,1185,1317,7,in vitro
BNIPL,Sphingomyelin (d34:2);Sphingomyelin (DH34:2),2,1196,1334,3,in vitro
BNIPL,Sphingomyelin (d36:1);Sphingomyelin (DH36:1),2,1199,1335,3,in vitro
BNIPL,Phosphatidylglycerol (32:1),3,1202,1353;1376,15,in vitro
BNIPL,Bismonoacylglycerolphosphate (33:1);Phosphatidylglycerol (33:1),2,1206,1244,2,in vitro
BNIPL,Bismonoacylglycerolphosphate (34:3);Phosphatidylglycerol (34:3),2,1237,1295,2,in vitro
BNIPL,Bismonoacylglycerolphosphate (38:2);Phosphatidylglycerol (38:2),2,1240,1292,1,in vitro
BNIPL,Phosphatidylcholine (O-36:5); Lysophosphatidylcholine (36:5),2,1260,1373,4,in vitro
BNIPL,Hexosyl ceramide (d42:1),2,1309,1310,8,in cellulo
BNIPL,Hexosyl ceramide (d42:2),2,1311,1312,4,in cellulo
BNIPL,Hexosyl ceramide (t42:1);Hexosyl ceramide (d42:1-OH),2,1320,1321,8,in cellulo
BNIPL,Hexosyl ceramide (t42:2);Hexosyl ceramide (d42:2-OH),2,1322,1323,4,in cellulo
BNIPL,Sphingomyelin (d40:1);Sphingomyelin (DH40:1),2,1336,1337,2,in cellulo
BNIPL,Sphingomyelin (d42:2);Sphingomyelin (DH42:2),2,1339,1340,2,in cellulo
BPI,Bismonoacylglycerolphosphate (36:2);Phosphatidylglycerol (36:2),2,1385,1537,16,in cellulo
BPI,Sphingomyelin (d40:2);Sphingomyelin (DH40:2),2,1391,1621,3,in cellulo
BPI,Sphingomyelin (d42:3);Sphingomyelin (DH42:3),2,1392,1474,1,in cellulo
BPI,Sphingomyelin (d38:1);Sphingomyelin (DH38:1),2,1393,1478,2,in cellulo
BPI,Sphingomyelin (d41:2);Sphingomyelin (DH41:2),2,1394,1477,2,in cellulo
BPI,Sphingomyelin (d42:1);Sphingomyelin (DH42:1),2,1395,1472,2,in cellulo
BPI,Sphingomyelin (d33:1);Sphingomyelin (DH33:1),2,1396,1476,2,in cellulo
BPI,Sphingomyelin (d36:2);Sphingomyelin (DH36:2),2,1398,1473,5,in cellulo
BPI,Lysophosphatidylcholine (38:5); Phosphatidylcholine (O-38:5),2,1414,1657,1,in cellulo
BPI,Sphingomyelin (d34:1);Sphingomyelin (DH34:1),2,1418,1616,3,in cellulo
BPI,Lysophosphatidylcholine (36:4);Phosphatidylcholine (O-36:4),2,1424,1551,1,in cellulo
BPI,Lysophosphatidylcholine (18:1);Phosphatidylcholine (O-18:1),2,1451,1570,1,in vitro
BPI,Hexosyl ceramide (t40:2);Hexosyl ceramide (d40:2-OH),2,1467,1601,5,in vitro
BPI,Hexosyl ceramide (t40:1);Hexosyl ceramide (d40:1-OH),2,1469,1600,7,in vitro
BPI,Sphingomyelin (d34:2);Sphingomyelin (DH34:2),2,1480,1617,3,in vitro
BPI,Sphingomyelin (d36:1);Sphingomyelin (DH36:1),2,1483,1618,3,in vitro
BPI,Phosphatidylglycerol (32:1),3,1486,1636;1659,15,in vitro
BPI,Bismonoacylglycerolphosphate (33:1);Phosphatidylglycerol (33:1),2,1490,1528,2,in vitro
BPI,Bismonoacylglycerolphosphate (34:3);Phosphatidylglycerol (34:3),2,1521,1579,2,in vitro
BPI,Bismonoacylglycerolphosphate (38:2);Phosphatidylglycerol (38:2),2,1524,1576,1,in vitro
BPI,Phosphatidylcholine (O-36:5); Lysophosphatidylcholine (36:5),2,1544,1656,4,in vitro
BPI,Hexosyl ceramide (d42:1),2,1592,1593,8,in cellulo
BPI,Hexosyl ceramide (d42:2),2,1594,1595,4,in cellulo
BPI,Hexosyl ceramide (t42:1);Hexosyl ceramide (d42:1-OH),2,1603,1604,8,in cellulo
BPI,Hexosyl ceramide (t42:2);Hexosyl ceramide (d42:2-OH),2,1605,1606,4,in cellulo
BPI,Sphingomyelin (d40:1);Sphingomyelin (DH40:1),2,1619,1620,2,in cellulo
BPI,Sphingomyelin (d42:2);Sphingomyelin (DH42:2),2,1622,1623,2,in cellulo
BPIFB2,Sphingomyelin (d40:2);Sphingomyelin (DH40:2),2,1677,1909,3,in cellulo
BPIFB2,Sphingomyelin (d42:3);Sphingomyelin (DH42:3),2,1678,1761,1,in cellulo
BPIFB2,Sphingomyelin (d38:1);Sphingomyelin (DH38:1),2,1679,1765,2,in cellulo
BPIFB2,Sphingomyelin (d41:2);Sphingomyelin (DH41:2),2,1680,1764,2,in cellulo
BPIFB2,Sphingomyelin (d42:1);Sphingomyelin (DH42:1),2,1681,1759,2,in cellulo
BPIFB2,Sphingomyelin (d33:1);Sphingomyelin (DH33:1),2,1682,1763,2,in cellulo
BPIFB2,Sphingomyelin (d36:2);Sphingomyelin (DH36:2),2,1684,1760,5,in cellulo
BPIFB2,Lysophosphatidylcholine (38:5); Phosphatidylcholine (O-38:5),2,1701,1945,1,in cellulo
BPIFB2,Sphingomyelin (d34:1);Sphingomyelin (DH34:1),2,1705,1904,3,in cellulo
BPIFB2,Lysophosphatidylcholine (36:4);Phosphatidylcholine (O-36:4),2,1711,1838,1,in cellulo
BPIFB2,Lysophosphatidylcholine (18:1);Phosphatidylcholine (O-18:1),2,1738,1857,1,in vitro
