LTPProtein,FullIdentityOfLipid,rows_merged,kept_row,dropped_rows,candidates_after,screens
RBP5,Sphingomyelin (d36:2);Sphingomyelin (DH36:2),2,8440,8516,5,in cellulo
RBP5,Lysophosphatidylcholine (38:5); Phosphatidylcholine (O-38:5),2,8457,8701,1,in cellulo
RBP5,Sphingomyelin (d34:1);Sphingomyelin (DH34:1),2,8461,8660,3,in cellulo
RBP5,Lysophosphatidylcholine (36:4);Phosphatidylcholine (O-36:4),2,8468,8594,1,in cellulo
RBP5,Lysophosphatidylcholine (18:1);Phosphatidylcholine (O-18:1),2,8495,8613,1,in vitro
RBP5,Hexosyl ceramide (t40:2);Hexosyl ceramide (d40:2-OH),2,8510,8645,5,in vitro
RBP5,Hexosyl ceramide (t40:1);Hexosyl ceramide (d40:1-OH),2,8512,8644,7,in vitro
RBP5,Sphingomyelin (d34:2);Sphingomyelin (DH34:2),2,8523,8661,3,in vitro
RBP5,Sphingomyelin (d36:1);Sphingomyelin (DH36:1),2,8526,8662,3,in vitro
RBP5,Phosphatidylglycerol (32:1),3,8529,8680;8703,15,in vitro
RBP5,Bismonoacylglycerolphosphate (33:1);Phosphatidylglycerol (33:1),2,8533,8571,2,in vitro
RBP5,Bismonoacylglycerolphosphate (34:3);Phosphatidylglycerol (34:3),2,8564,8622,2,in vitro
RBP5,Bismonoacylglycerolphosphate (38:2);Phosphatidylglycerol (38:2),2,8567,8619,1,in vitro
RBP5,Phosphatidylcholine (O-36:5); Lysophosphatidylcholine (36:5),2,8587,8700,4,in vitro
RBP5,Hexosyl ceramide (d42:1),2,8636,8637,8,in cellulo
RBP5,Hexosyl ceramide (d42:2),2,8638,8639,4,in cellulo
RBP5,Hexosyl ceramide (t42:1);Hexosyl ceramide (d42:1-OH),2,8647,8648,8,in cellulo
RBP5,Hexosyl ceramide (t42:2);Hexosyl ceramide (d42:2-OH),2,8649,8650,4,in cellulo
RBP5,Sphingomyelin (d40:1);Sphingomyelin (DH40:1),2,8663,8664,2,in cellulo
RBP5,Sphingomyelin (d42:2);Sphingomyelin (DH42:2),2,8666,8667,2,in cellulo
RLBP1,Phosphatidylcholine (32:2),2,8708,8944,13,in cellulo
RLBP1,Bismonoacylglycerolphosphate (36:2);Phosphatidylglycerol (36:2),2,8733,8853,16,in cellulo
RLBP1,Sphingomyelin (d40:2);Sphingomyelin (DH40:2),2,8739,8926,3,in cellulo
RLBP1,Sphingomyelin (d42:3);Sphingomyelin (DH42:3),2,8740,8821,1,in cellulo
RLBP1,Sphingomyelin (d38:1);Sphingomyelin (DH38:1),2,8741,8825,2,in cellulo
RLBP1,Sphingomyelin (d41:2);Sphingomyelin (DH41:2),2,8742,8824,2,in cellulo
RLBP1,Sphingomyelin (d42:1);Sphingomyelin (DH42:1),2,8743,8819,2,in cellulo
RLBP1,Sphingomyelin (d33:1);Sphingomyelin (DH33:1),2,8744,8823,2,in cellulo
RLBP1,Sphingomyelin (d36:2);Sphingomyelin (DH36:2),2,8746,8820,5,in cellulo
RLBP1,Lysophosphatidylcholine (38:5); Phosphatidylcholine (O-38:5),2,8763,8950,1,in cellulo
RLBP1,Sphingomyelin (d34:1);Sphingomyelin (DH34:1),2,8767,8921,3,in cellulo
RLBP1,Lysophosphatidylcholine (36:4);Phosphatidylcholine (O-36:4),2,8773,8865,1,in cellulo
RLBP1,Lysophosphatidylcholine (18:1);Phosphatidylcholine (O-18:1),2,8799,8881,1,in vitro
RLBP1,Hexosyl ceramide (t40:2);Hexosyl ceramide (d40:2-OH),2,8814,8906,5,in vitro
RLBP1,Hexosyl ceramide (t40:1);Hexosyl ceramide (d40:1-OH),2,8816,8905,7,in vitro
RLBP1,Sphingomyelin (d34:2);Sphingomyelin (DH34:2),2,8827,8922,3,in vitro
RLBP1,Sphingomyelin (d36:1);Sphingomyelin (DH36:1),2,8830,8923,3,in vitro
RLBP1,Bismonoacylglycerolphosphate (33:1);Phosphatidylglycerol (33:1),2,8836,8845,2,in vitro
RLBP1,Phosphatidylcholine (O-36:5); Lysophosphatidylcholine (36:5),2,8858,8949,4,in vitro
RLBP1,Hexosyl ceramide (d42:1),2,8897,8898,8,in cellulo
RLBP1,Hexosyl ceramide (d42:2),2,8899,8900,4,in cellulo
RLBP1,Hexosyl ceramide (t42:1);Hexosyl ceramide (d42:1-OH),2,8908,8909,8,in cellulo
RLBP1,Hexosyl ceramide (t42:2);Hexosyl ceramide (d42:2-OH),2,8910,8911,4,in cellulo
RLBP1,Sphingomyelin (d40:1);Sphingomyelin (DH40:1),2,8924,8925,2,in cellulo
RLBP1,Sphingomyelin (d42:2);Sphingomyelin (DH42:2),2,8927,8928,2,in cellulo
SCP2,Phosphatidylcholine (32:2),2,8958,9246,13,in cellulo
SCP2,Bismonoacylglycerolphosphate (36:2);Phosphatidylglycerol (36:2),2,8987,9132,16,in cellulo
SCP2,Sphingomyelin (d40:2);Sphingomyelin (DH40:2),2,8993,9216,3,in cellulo
SCP2,Sphingomyelin (d42:3);Sphingomyelin (DH42:3),2,8994,9077,1,in cellulo
SCP2,Sphingomyelin (d38:1);Sphingomyelin (DH38:1),2,8995,9081,2,in cellulo
SCP2,Sphingomyelin (d41:2);Sphingomyelin (DH41:2),2,8996,9080,2,in cellulo
SCP2,Sphingomyelin (d42:1);Sphingomyelin (DH42:1),2,8997,9075,2,in cellulo
SCP2,Sphingomyelin (d33:1);Sphingomyelin (DH33:1),2,8998,9079,2,in cellulo
SCP2,Sphingomyelin (d36:2);Sphingomyelin (DH36:2),2,9000,9076,5,in cellulo
SCP2,Lysophosphatidylcholine (38:5); Phosphatidylcholine (O-38:5),2,9017,9252,1,in cellulo
SCP2,Sphingomyelin (d34:1);Sphingomyelin (DH34:1),2,9021,9211,3,in cellulo
SCP2,Lysophosphatidylcholine (36:4);Phosphatidylcholine (O-36:4),2,9028,9146,1,in cellulo
SCP2,Lysophosphatidylcholine (18:1);Phosphatidylcholine (O-18:1),2,9055,9165,1,in vitro
SCP2,Hexosyl ceramide (t40:2);Hexosyl ceramide (d40:2-OH),2,9070,9196,5,in vitro
SCP2,Hexosyl ceramide (t40:1);Hexosyl ceramide (d40:1-OH),2,9072,9195,7,in vitro
SCP2,Sphingomyelin (d34:2);Sphingomyelin (DH34:2),2,9083,9212,3,in vitro
SCP2,Sphingomyelin (d36:1);Sphingomyelin (DH36:1),2,9085,9213,3,in vitro
SCP2,Bismonoacylglycerolphosphate (34:3);Phosphatidylglycerol (34:3),2,9121,9174,2,in vitro
SCP2,Bismonoacylglycerolphosphate (38:2);Phosphatidylglycerol (38:2),2,9124,9171,1,in vitro
SCP2,Phosphatidylcholine (O-36:5); Lysophosphatidylcholine (36:5),2,9139,9251,4,in vitro
SCP2,Hexosyl ceramide (d42:1),2,9187,9188,8,in cellulo
SCP2,Hexosyl ceramide (d42:2),2,9189,9190,4,in cellulo
SCP2,Hexosyl ceramide (t42:1);Hexosyl ceramide (d42:1-OH),2,9198,9199,8,in cellulo
SCP2,Hexosyl ceramide (t42:2);Hexosyl ceramide (d42:2-OH),2,9200,9201,4,in cellulo
SCP2,Sphingomyelin (d40:1);Sphingomyelin (DH40:1),2,9214,9215,2,in cellulo
SCP2,Sphingomyelin (d42:2);Sphingomyelin (DH42:2),2,9217,9218,2,in cellulo
SCP2D1,Phosphatidylcholine (32:2),2,9260,9530,13,in cellulo
SCP2D1,Sphingomyelin (d40:2);Sphingomyelin (DH40:2),2,9292,9504,3,in cellulo
SCP2D1,Sphingomyelin (d42:3);Sphingomyelin (DH42:3),2,9293,9375,1,in cellulo
SCP2D1,Sphingomyelin (d38:1);Sphingomyelin (DH38:1),2,9294,9379,2,in cellulo
SCP2D1,Sphingomyelin (d41:2);Sphingomyelin (DH41:2),2,9295,9378,2,in cellulo
SCP2D1,Sphingomyelin (d42:1);Sphingomyelin (DH42:1),2,9296,9373,2,in cellulo
SCP2D1,Sphingomyelin (d33:1);Sphingomyelin (DH33:1),2,9297,9377,2,in cellulo
SCP2D1,Sphingomyelin (d36:2);Sphingomyelin (DH36:2),2,9299,9374,5,in cellulo
SCP2D1,Lysophosphatidylcholine (38:5); Phosphatidylcholine (O-38:5),2,9316,9536,1,in cellulo
SCP2D1,Sphingomyelin (d34:1);Sphingomyelin (DH34:1),2,9320,9499,3,in cellulo
SCP2D1,Lysophosphatidylcholine (36:4);Phosphatidylcholine (O-36:4),2,9327,9434,1,in cellulo
SCP2D1,Lysophosphatidylcholine (18:1);Phosphatidylcholine (O-18:1),2,9354,9453,1,in vitro
SCP2D1,Hexosyl ceramide (t40:2);Hexosyl ceramide (d40:2-OH),2,9368,9484,5,in vitro
SCP2D1,Hexosyl ceramide (t40:1);Hexosyl ceramide (d40:1-OH),2,9370,9483,7,in vitro
SCP2D1,Sphingomyelin (d34:2);Sphingomyelin (DH34:2),2,9381,9500,3,in vitro
SCP2D1,Sphingomyelin (d36:1);Sphingomyelin (DH36:1),2,9384,9501,3,in vitro
SCP2D1,Phosphatidylglycerol (32:1),3,9387,9519;9538,15,in vitro
SCP2D1,Bismonoacylglycerolphosphate (34:3);Phosphatidylglycerol (34:3),2,9418,9461,2,in vitro
SCP2D1,Bismonoacylglycerolphosphate (38:2);Phosphatidylglycerol (38:2),2,9421,9459,1,in vitro
SCP2D1,Phosphatidylcholine (O-36:5); Lysophosphatidylcholine (36:5),2,9427,9535,4,in vitro
SCP2D1,Hexosyl ceramide (d42:1),2,9475,9476,8,in cellulo
SCP2D1,Hexosyl ceramide (d42:2),2,9477,9478,4,in cellulo
SCP2D1,Hexosyl ceramide (t42:1);Hexosyl ceramide (d42:1-OH),2,9486,9487,8,in cellulo
SCP2D1,Hexosyl ceramide (t42:2);Hexosyl ceramide (d42:2-OH),2,9488,9489,4,in cellulo
SCP2D1,Sphingomyelin (d40:1);Sphingomyelin (DH40:1),2,9502,9503,2,in cellulo
SCP2D1,Sphingomyelin (d42:2);Sphingomyelin (DH42:2),2,9505,9506,2,in cellulo
SEC14L4,Phosphatidylcholine (32:2),2,9544,9839,13,in cellulo
SEC14L4,Bismonoacylglycerolphosphate (36:2);Phosphatidylglycerol (36:2),2,9573,9724,16,in cellulo
SEC14L4,Sphingomyelin (d40:2);Sphingomyelin (DH40:2),2,9579,9809,3,in cellulo
SEC14L4,Sphingomyelin (d42:3);Sphingomyelin (DH42:3),2,9580,9662,1,in cellulo
SEC14L4,Sphingomyelin (d38:1);Sphingomyelin (DH38:1),2,9581,9666,2,in cellulo
SEC14L4,Sphingomyelin (d41:2);Sphingomyelin (DH41:2),2,9582,9665,2,in cellulo
SEC14L4,Sphingomyelin (d42:1);Sphingomyelin (DH42:1),2,9583,9660,2,in cellulo
SEC14L4,Sphingomyelin (d33:1);Sphingomyelin (DH33:1),2,9584,9664,2,in cellulo
SEC14L4,Sphingomyelin (d36:2);Sphingomyelin (DH36:2),2,9586,9661,5,in cellulo
SEC14L4,Lysophosphatidylcholine (38:5); Phosphatidylcholine (O-38:5),2,9603,9845,1,in cellulo
SEC14L4,Sphingomyelin (d34:1);Sphingomyelin (DH34:1),2,9607,9804,3,in cellulo
SEC14L4,Lysophosphatidylcholine (36:4);Phosphatidylcholine (O-36:4),2,9614,9738,1,in cellulo
SEC14L4,Lysophosphatidylcholine (18:1);Phosphatidylcholine (O-18:1),2,9640,9757,1,in vitro
SEC14L4,Hexosyl ceramide (t40:2);Hexosyl ceramide (d40:2-OH),2,9655,9789,5,in vitro
SEC14L4,Hexosyl ceramide (t40:1);Hexosyl ceramide (d40:1-OH),2,9657,9788,7,in vitro
SEC14L4,Sphingomyelin (d34:2);Sphingomyelin (DH34:2),2,9668,9805,3,in vitro
SEC14L4,Sphingomyelin (d36:1);Sphingomyelin (DH36:1),2,9671,9806,3,in vitro
SEC14L4,Phosphatidylglycerol (32:1),3,9674,9824;9847,15,in vitro
SEC14L4,Bismonoacylglycerolphosphate (33:1);Phosphatidylglycerol (33:1),2,9678,9715,2,in vitro
SEC14L4,Bismonoacylglycerolphosphate (34:3);Phosphatidylglycerol (34:3),2,9708,9766,2,in vitro
SEC14L4,Bismonoacylglycerolphosphate (38:2);Phosphatidylglycerol (38:2),2,9711,9763,1,in vitro
SEC14L4,Phosphatidylcholine (O-36:5); Lysophosphatidylcholine (36:5),2,9731,9844,4,in vitro
SEC14L4,Hexosyl ceramide (d42:1),2,9780,9781,8,in cellulo
SEC14L4,Hexosyl ceramide (d42:2),2,9782,9783,4,in cellulo
SEC14L4,Hexosyl ceramide (t42:1);Hexosyl ceramide (d42:1-OH),2,9791,9792,8,in cellulo
SEC14L4,Hexosyl ceramide (t42:2);Hexosyl ceramide (d42:2-OH),2,9793,9794,4,in cellulo
SEC14L4,Sphingomyelin (d40:1);Sphingomyelin (DH40:1),2,9807,9808,2,in cellulo
SEC14L4,Sphingomyelin (d42:2);Sphingomyelin (DH42:2),2,9810,9811,2,in cellulo
SEC14L5,Phosphatidylcholine (32:2),2,9853,10149,13,in cellulo
SEC14L5,Bismonoacylglycerolphosphate (36:2);Phosphatidylglycerol (36:2),2,9882,10036,16,in cellulo
SEC14L5,Sphingomyelin (d40:2);Sphingomyelin (DH40:2),2,9888,10119,3,in cellulo
SEC14L5,Sphingomyelin (d42:3);Sphingomyelin (DH42:3),2,9889,9973,1,in cellulo
SEC14L5,Sphingomyelin (d38:1);Sphingomyelin (DH38:1),2,9890,9977,2,in cellulo
SEC14L5,Sphingomyelin (d41:2);Sphingomyelin (DH41:2),2,9891,9976,2,in cellulo
SEC14L5,Sphingomyelin (d42:1);Sphingomyelin (DH42:1),2,9892,9971,2,in cellulo
SEC14L5,Sphingomyelin (d33:1);Sphingomyelin (DH33:1),2,9893,9975,2,in cellulo
SEC14L5,Sphingomyelin (d36:2);Sphingomyelin (DH36:2),2,9895,9972,5,in cellulo
SEC14L5,Lysophosphatidylcholine (38:5); Phosphatidylcholine (O-38:5),2,9912,10155,1,in cellulo
SEC14L5,Sphingomyelin (d34:1);Sphingomyelin (DH34:1),2,9916,10114,3,in cellulo
SEC14L5,Lysophosphatidylcholine (36:4);Phosphatidylcholine (O-36:4),2,9923,10048,1,in cellulo
SEC14L5,Lysophosphatidylcholine (18:1);Phosphatidylcholine (O-18:1),2,9950,10067,1,in vitro
SEC14L5,Hexosyl ceramide (t40:2);Hexosyl ceramide (d40:2-OH),2,9966,10099,5,in vitro
SEC14L5,Hexosyl ceramide (t40:1);Hexosyl ceramide (d40:1-OH),2,9968,10098,7,in vitro
SEC14L5,Sphingomyelin (d34:2);Sphingomyelin (DH34:2),2,9979,10115,3,in vitro
SEC14L5,Sphingomyelin (d36:1);Sphingomyelin (DH36:1),2,9982,10116,3,in vitro
SEC14L5,Phosphatidylglycerol (32:1),3,9985,10134;10157,15,in vitro
SEC14L5,Bismonoacylglycerolphosphate (33:1);Phosphatidylglycerol (33:1),2,9989,10027,2,in vitro
SEC14L5,Bismonoacylglycerolphosphate (34:3);Phosphatidylglycerol (34:3),2,10020,10076,2,in vitro
SEC14L5,Bismonoacylglycerolphosphate (38:2);Phosphatidylglycerol (38:2),2,10023,10073,1,in vitro
SEC14L5,Phosphatidylcholine (O-36:5); Lysophosphatidylcholine (36:5),2,10041,10154,4,in vitro
SEC14L5,Hexosyl ceramide (d42:1),2,10090,10091,8,in cellulo
SEC14L5,Hexosyl ceramide (d42:2),2,10092,10093,4,in cellulo
SEC14L5,Hexosyl ceramide (t42:1);Hexosyl ceramide (d42:1-OH),2,10101,10102,8,in cellulo
SEC14L5,Hexosyl ceramide (t42:2);Hexosyl ceramide (d42:2-OH),2,10103,10104,4,in cellulo
SEC14L5,Sphingomyelin (d40:1);Sphingomyelin (DH40:1),2,10117,10118,2,in cellulo
SEC14L5,Sphingomyelin (d42:2);Sphingomyelin (DH42:2),2,10120,10121,2,in cellulo
TTPA,Phosphatidylcholine (32:2),2,10163,10451,13,in cellulo
TTPA,Bismonoacylglycerolphosphate (36:2);Phosphatidylglycerol (36:2),2,10192,10337,16,in cellulo
TTPA,Sphingomyelin (d40:2);Sphingomyelin (DH40:2),2,10198,10421,3,in cellulo
TTPA,Sphingomyelin (d42:3);Sphingomyelin (DH42:3),2,10199,10283,1,in cellulo
TTPA,Sphingomyelin (d38:1);Sphingomyelin (DH38:1),2,10200,10287,2,in cellulo
TTPA,Sphingomyelin (d41:2);Sphingomyelin (DH41:2),2,10201,10286,2,in cellulo
TTPA,Sphingomyelin (d42:1);Sphingomyelin (DH42:1),2,10202,10281,2,in cellulo
TTPA,Sphingomyelin (d33:1);Sphingomyelin (DH33:1),2,10203,10285,2,in cellulo
TTPA,Sphingomyelin (d36:2);Sphingomyelin (DH36:2),2,10205,10282,5,in cellulo
TTPA,Lysophosphatidylcholine (38:5); Phosphatidylcholine (O-38:5),2,10222,10457,1,in cellulo
TTPA,Sphingomyelin (d34:1);Sphingomyelin (DH34:1),2,10226,10416,3,in cellulo
TTPA,Lysophosphatidylcholine (36:4);Phosphatidylcholine (O-36:4),2,10233,10351,1,in cellulo
TTPA,Lysophosphatidylcholine (18:1);Phosphatidylcholine (O-18:1),2,10260,10370,1,in vitro
TTPA,Hexosyl ceramide (t40:2);Hexosyl ceramide (d40:2-OH),2,10276,10401,5,in vitro
TTPA,Hexosyl ceramide (t40:1);Hexosyl ceramide (d40:1-OH),2,10278,10400,7,in vitro
TTPA,Sphingomyelin (d34:2);Sphingomyelin (DH34:2),2,10289,10417,3,in vitro
TTPA,Sphingomyelin (d36:1);Sphingomyelin (DH36:1),2,10291,10418,3,in vitro
TTPA,Phosphatidylglycerol (32:1),3,10294,10436;10459,15,in vitro
TTPA,Bismonoacylglycerolphosphate (34:3);Phosphatidylglycerol (34:3),2,10324,10379,2,in vitro
TTPA,Bismonoacylglycerolphosphate (38:2);Phosphatidylglycerol (38:2),2,10327,10376,1,in vitro
TTPA,Phosphatidylcholine (O-36:5); Lysophosphatidylcholine (36:5),2,10344,10456,4,in vitro
TTPA,Hexosyl ceramide (d42:1),2,10392,10393,8,in cellulo
TTPA,Hexosyl ceramide (d42:2),2,10394,10395,4,in cellulo
TTPA,Hexosyl ceramide (t42:1);Hexosyl ceramide (d42:1-OH),2,10403,10404,8,in cellulo
TTPA,Hexosyl ceramide (t42:2);Hexosyl ceramide (d42:2-OH),2,10405,10406,4,in cellulo
TTPA,Sphingomyelin (d40:1);Sphingomyelin (DH40:1),2,10419,10420,2,in cellulo
TTPA,Sphingomyelin (d42:2);Sphingomyelin (DH42:2),2,10422,10423,2,in cellulo
TTPAL,Phosphatidylcholine (32:2),2,10465,10702,13,in cellulo
TTPAL,Bismonoacylglycerolphosphate (36:2);Phosphatidylglycerol (36:2),2,10489,10619,16,in cellulo
TTPAL,Sphingomyelin (d40:2);Sphingomyelin (DH40:2),2,10495,10681,3,in cellulo
TTPAL,Sphingomyelin (d42:3);Sphingomyelin (DH42:3),2,10496,10576,1,in cellulo
TTPAL,Sphingomyelin (d38:1);Sphingomyelin (DH38:1),2,10497,10580,2,in cellulo
TTPAL,Sphingomyelin (d41:2);Sphingomyelin (DH41:2),2,10498,10579,2,in cellulo
TTPAL,Sphingomyelin (d42:1);Sphingomyelin (DH42:1),2,10499,10574,2,in cellulo
TTPAL,Sphingomyelin (d33:1);Sphingomyelin (DH33:1),2,10500,10578,2,in cellulo
TTPAL,Sphingomyelin (d36:2);Sphingomyelin (DH36:2),2,10502,10575,5,in cellulo
TTPAL,Lysophosphatidylcholine (38:5); Phosphatidylcholine (O-38:5),2,10519,10708,1,in cellulo
TTPAL,Sphingomyelin (d34:1);Sphingomyelin (DH34:1),2,10523,10676,3,in cellulo
TTPAL,Lysophosphatidylcholine (36:4);Phosphatidylcholine (O-36:4),2,10530,10630,1,in cellulo
TTPAL,Hexosyl ceramide (t40:2);Hexosyl ceramide (d40:2-OH),2,10569,10661,5,in vitro
TTPAL,Hexosyl ceramide (t40:1);Hexosyl ceramide (d40:1-OH),2,10571,10660,7,in vitro
TTPAL,Sphingomyelin (d34:2);Sphingomyelin (DH34:2),2,10582,10677,3,in vitro
TTPAL,Sphingomyelin (d36:1);Sphingomyelin (DH36:1),2,10584,10678,3,in vitro
TTPAL,Bismonoacylglycerolphosphate (33:1);Phosphatidylglycerol (33:1),2,10590,10611,2,in vitro
TTPAL,Phosphatidylcholine (O-36:5); Lysophosphatidylcholine (36:5),2,10623,10707,4,in vitro
TTPAL,Hexosyl ceramide (d42:1),2,10652,10653,8,in cellulo
TTPAL,Hexosyl ceramide (d42:2),2,10654,10655,4,in cellulo
TTPAL,Hexosyl ceramide (t42:1);Hexosyl ceramide (d42:1-OH),2,10663,10664,8,in cellulo
TTPAL,Hexosyl ceramide (t42:2);Hexosyl ceramide (d42:2-OH),2,10665,10666,4,in cellulo
TTPAL,Sphingomyelin (d40:1);Sphingomyelin (DH40:1),2,10679,10680,2,in cellulo
TTPAL,Sphingomyelin (d42:2);Sphingomyelin (DH42:2),2,10682,10683,2,in cellulo
OSBPL9,Phosphatidylcholine (32:2),2,10714,11009,13,in cellulo
OSBPL9,Bismonoacylglycerolphosphate (36:2);Phosphatidylglycerol (36:2),2,10742,10896,16,in cellulo
OSBPL9,Sphingomyelin (d40:2);Sphingomyelin (DH40:2),2,10748,10980,3,in cellulo
OSBPL9,Sphingomyelin (d42:3);Sphingomyelin (DH42:3),2,10749,10833,1,in cellulo
OSBPL9,Sphingomyelin (d38:1);Sphingomyelin (DH38:1),2,10750,10837,2,in cellulo
OSBPL9,Sphingomyelin (d41:2);Sphingomyelin (DH41:2),2,10751,10836,2,in cellulo
OSBPL9,Sphingomyelin (d42:1);Sphingomyelin (DH42:1),2,10752,10831,2,in cellulo
OSBPL9,Sphingomyelin (d33:1);Sphingomyelin (DH33:1),2,10753,10835,2,in cellulo
OSBPL9,Sphingomyelin (d36:2);Sphingomyelin (DH36:2),2,10755,10832,5,in cellulo
OSBPL9,Lysophosphatidylcholine (38:5); Phosphatidylcholine (O-38:5),2,10772,11015,1,in cellulo
OSBPL9,Sphingomyelin (d34:1);Sphingomyelin (DH34:1),2,10776,10975,3,in cellulo
OSBPL9,Lysophosphatidylcholine (36:4);Phosphatidylcholine (O-36:4),2,10783,10910,1,in cellulo
OSBPL9,Lysophosphatidylcholine (18:1);Phosphatidylcholine (O-18:1),2,10810,10929,1,in vitro
OSBPL9,Hexosyl ceramide (t40:2);Hexosyl ceramide (d40:2-OH),2,10826,10960,5,in vitro
OSBPL9,Hexosyl ceramide (t40:1);Hexosyl ceramide (d40:1-OH),2,10828,10959,7,in vitro
OSBPL9,Sphingomyelin (d34:2);Sphingomyelin (DH34:2),2,10839,10976,3,in vitro
OSBPL9,Sphingomyelin (d36:1);Sphingomyelin (DH36:1),2,10842,10977,3,in vitro
OSBPL9,Phosphatidylglycerol (32:1),3,10845,10994;11017,15,in vitro
OSBPL9,Bismonoacylglycerolphosphate (33:1);Phosphatidylglycerol (33:1),2,10849,10887,2,in vitro
OSBPL9,Bismonoacylglycerolphosphate (34:3);Phosphatidylglycerol (34:3),2,10880,10938,2,in vitro
OSBPL9,Bismonoacylglycerolphosphate (38:2);Phosphatidylglycerol (38:2),2,10883,10935,1,in vitro
OSBPL9,Phosphatidylcholine (O-36:5); Lysophosphatidylcholine (36:5),2,10903,11014,4,in vitro
OSBPL9,Hexosyl ceramide (d42:1),2,10951,10952,8,in cellulo
OSBPL9,Hexosyl ceramide (d42:2),2,10953,10954,4,in cellulo
OSBPL9,Hexosyl ceramide (t42:1);Hexosyl ceramide (d42:1-OH),2,10962,10963,8,in cellulo
OSBPL9,Hexosyl ceramide (t42:2);Hexosyl ceramide (d42:2-OH),2,10964,10965,4,in cellulo
OSBPL9,Sphingomyelin (d40:1);Sphingomyelin (DH40:1),2,10978,10979,2,in cellulo
OSBPL9,Sphingomyelin (d42:2);Sphingomyelin (DH42:2),2,10981,10982,2,in cellulo
