pair_id,LTPProtein,ProteinDomain,Lipid,fig3a_class
4113,SEC14L6,CRAL-TRIO,PC(36:2),PC
4114,SEC14L6,CRAL-TRIO,PC(30:1),PC
4116,SEC14L6,CRAL-TRIO,PC(35:2),PC
4117,SEC14L6,CRAL-TRIO,PC(34:3),PC
4118,SEC14L6,CRAL-TRIO,PC(35:1),PC
4119,SEC14L6,CRAL-TRIO,PC(O-32:2),PC-O
4139,SEC14L6,CRAL-TRIO,PC(40:2),PC
4140,SEC14L6,CRAL-TRIO,PC(O-38:3),PC-O
4141,SEC14L6,CRAL-TRIO,PC(O-37:7),PC-O
4142,SEC14L6,CRAL-TRIO,PC(O-36:5),PC-O
4145,SEC14L6,CRAL-TRIO,PC(36:4),PC
4146,SEC14L6,CRAL-TRIO,PC(33:2),PC
4147,SEC14L6,CRAL-TRIO,PC(38:5),PC
4148,SEC14L6,CRAL-TRIO,PC(38:6),PC
4149,SEC14L6,CRAL-TRIO,PC(O-38:6),PC-O
