pair_id,LTPProtein,ProteinDomain,FullIdentityOfLipid,Lipid,Screen,nearest_positive_lipid_same_protein,nearest_positive_tanimoto,exact_lipid_positive_family_protein_count,exact_lipid_positive_family_proteins,same_screen_family_protein_count,same_screen_family_proteins
5367,STARD10,START,Lysophosphatidylcholine (38:5);Phosphatidylcholine (O-38:5),PC(O-38:5)/LPC(38:5),in vitro,Lysophosphatidylcholine (38:5); Phosphatidylcholine (O-38:5),1.0,1,STARD2,1,STARD2
5372,STARD11,START,Phosphatidylcholine (36:1),PC(36:1),in cellulo,Phosphatidylcholine (34:1),1.0,1,STARD2,1,STARD2
5376,STARD11,START,Phosphatidylcholine (33:1),PC(33:1),in cellulo,Phosphatidylcholine (34:1),1.0,1,STARD2,1,STARD2
5386,STARD11,START,Phosphatidylcholine (31:1),PC(31:1),in cellulo,Phosphatidylcholine (34:1),1.0,1,STARD2,1,STARD2
5398,STARD11,START,Phosphatidylcholine (35:1),PC(35:1),in cellulo,Phosphatidylcholine (34:1),1.0,1,STARD2,1,STARD2
5428,STARD11,START,Phosphatidylcholine (33:2),PC(33:2),in cellulo,Phosphatidylcholine (34:1),1.0,1,STARD10,1,STARD10
5652,STARD11,START,: Phosphatidylcholine (32:2),PC(32:2),in cellulo,Phosphatidylcholine (34:1),1.0,1,STARD2,1,STARD2
4917,STARD2,START,Phosphatidylcholine (33:2),PC(33:2),in cellulo,Phosphatidylcholine (40:4),1.0,1,STARD10,1,STARD10
6073,FABP1,lipocalin,docosatetraenoate,FA(22:4),in vitro,eicosatetraenoate,1.0,1,FABP5,1,FABP5
6098,FABP1,lipocalin,Phosphatidylglycerol (32:1);Bismonoacylglycerolphosphate (32:1),PG/BMP(32:1),in vitro,Phosphatidylglycerol (36:2),1.0,1,LCN15,1,LCN15
6135,FABP1,lipocalin,Phosphatidylglycerol (32:2),PG(32:2),in vitro,Phosphatidylglycerol (36:2),1.0,1,LCN15,1,LCN15
6668,FABP7,lipocalin,docosatetraenoate,FA(22:4),in vitro,eicosatetraenoate,1.0,1,FABP5,1,FABP5
7274,LCN15,lipocalin,Phosphatidylglycerol (36:2),PG(36:2),in vitro,Phosphatidylglycerol (32:1);Bismonoacylglycerolphosphate (32:1),1.0,1,FABP1,1,FABP1
8195,PMP2,lipocalin,docosatetraenoate,FA(22:4),in vitro,eicosatetraenoate,1.0,1,FABP5,1,FABP5
9089,SCP2,scp2,Phosphatidylglycerol (32:1);Bismonoacylglycerolphosphate (32:1),PG/BMP(32:1),in vitro,Phosphatidylglycerol (32:2),1.0,1,SCP2D1,1,SCP2D1
9132,SCP2,scp2,Bismonoacylglycerolphosphate (36:2);Phosphatidylglycerol (36:2),PG/BMP(36:2),in vitro,Phosphatidylglycerol (32:2),1.0,1,SCP2D1,1,SCP2D1
9133,SCP2,scp2,Phosphatidylglycerol (34:1);Bismonoacylglycerolphosphate (34:1),PG/BMP(34:1),in vitro,Phosphatidylglycerol (32:2),1.0,1,SCP2D1,1,SCP2D1
9424,SCP2D1,scp2,Phosphatidylglycerol (32:2),PG(32:2),in vitro,Bismonoacylglycerolphosphate (36:2);Phosphatidylglycerol (36:2),1.0,1,SCP2,1,SCP2
1079,BNIPL,CRAL-TRIO,Phosphatidylcholine (O-34:2),PC(O-34:2),in cellulo,Phosphatidylcholine (O-32:1),0.9811320754716981,1,SEC14L6,1,SEC14L6
5275,STARD10,START,Phosphatidylcholine (O-35:5),PC(O-35:5),in vitro,Phosphatidylcholine (40:7),0.9649122807017544,1,STARD2,1,STARD2
