LTP,Lipid,Lipid Chains,Lipid SMILES,Lipid Volumes (Å3)
BPIFB2,PC(O-34:1),Phosphatidylcholine (O-34:1),[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)(COP(=O)([O-])OCC[N+](C)(C)C)COCCCCCCCCCCCCCCCC,663.97299999999996
BPIFB2,PC(O-34:2),Phosphatidylcholine (O-34:2),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)CO/C=C\CCCCCCCCCCCCCC,662.04200000000003
BPIFB2,PC(O-36:2),Phosphatidylcholine (O-36:2),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCCCCCCC)=O)CO/C=C\CCCCCC/C=C\CCCCCCCC,691.21333333333348
BPIFB2,PG/BMP(36:2),Phosphatidylglycerol (36:2); Bismonoacylglycerolphosphate (36:2) => (18:1/18:1),[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O)(=O)O,670.05100000000004
CRABP2,FA(17:1),heptadecenoate => (17:1),C(CCCCCCCC/C=C\CCCCCC)(=O)O,250.83216666666667
FABP1,FA(16:1),hexadecenoate => (16:1),C(=C/CCCCCCCC)/CCCCCC(=O)O,237.37216666666666
FABP1,FA(17:1),heptadecenoate => (17:1),C(CCCCCCCC/C=C\CCCCCC)(=O)O,250.83216666666667
FABP1,FA(18:1),octadecenoate => (18:1),C(CCCCCCCCCCC/C=C\CCCC)(=O)O,264.114125
FABP1,FA(18:2),octadecadienoate => (18:2),C(CCCC/C=C\CCCC/C=C\CCCCC)(=O)O,262.54225000000002
FABP1,FA(19:1),nonadecenoate => (19:1),C(CCCCCCCC/C=C\CCCCCCCC)(=O)O,277.85424999999998
FABP1,FA(20:3),eicosatrienoate => (20:3),C(CCCCC/C=C\C/C=C\C/C=C\CCCCCC)(=O)O,288.05166666666668
FABP1,FA(20:4),eicosatetraenoate => (20:4),C(O)(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC,286.35614285714286
FABP1,FA(22:5),docosapentaenoate => (22:5),C(CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC)(=O)O,312.07
FABP1,LPE(16:0),Lysophosphatidylethanolamine (16:0) => (16:0),[C@](COP(=O)(O)OCCN)([H])(O)COC(CCCCCCCCCCCCCCC)=O,379.09550000000002
FABP1,LPE(16:1),Lysophosphatidylethanolamine (16:1) => (16:1),C(OP(OCCN)(O)=O)[C@]([H])(OC(=O)CCCCCCC/C=C\CCCCCC)CO,377.10950000000003
FABP1,LPE(17:1),Lysophosphatidylethanolamine (17:1) => (17:1),[C@](COP(=O)(O)OCCN)([H])(O)COC(CCCCCCC/C=C\CCCCCCC)=O,391.79719999999998
FABP1,LPE(18:1),Lysophosphatidylethanolamine (18:1) => (18:1),C(OP(OCCN)(O)=O)[C@]([H])(OC(=O)CCCCCCC/C=C\CCCCCCCC)CO,404.52599999999995
FABP1,LPG(16:1),Lysophosphatidylglycerol (16:1) => (16:1),[H][C@](O)(CO)COP(OC[C@]([H])(O)COC(CCCCCCC/C=C\CCCCCC)=O)(=O)O,393.166
FABP1,LPG(18:1),Lysophosphatidylglycerol (18:1),[H][C@](O)(CO)COP(OC[C@]([H])(O)COC(CCCCCCC/C=C\CCCCCCCC)=O)(=O)O,420.66019999999997
FABP1,PC(O-18:1)/LPC(18:1),Lysophosphatidylcholine (18:1);Phosphatidylcholine (O-18:1),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(O)COCCCCCCCC/C=C\CCCCCCCC,439.8605
FABP1,PE(30:1),Phosphatidylethanolamine (30:1) => (14:0/16:1),[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCCCCCCCC)=O,577.27700000000004
FABP1,PE(32:2),Phosphatidylethanolamine (32:2) => (16:1/16:1),[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCC/C=C\CCCCCC)=O,602.12933333333331
FABP1,PE(33:2),Phosphatidylethanolamine (33:2) => (17:1/16:1),[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCCC/C=C\CCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCC)=O,614.8416666666667
FABP1,PG(32:1),Phosphatidylglycerol (32:1) => (16:1/16:0),[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCC)=O)(=O)O,617.43529999999987
FABP1,PG(33:1),Phosphatidylglycerol (33:1) => (16:0/17:1),[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCC)=O)(=O)O,632.45653846153857
FABP1,PG(33:1),Phosphatidylglycerol (33:1) => (17:1/16:0),[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCC)=O)(=O)O,632.45653846153857
FABP1,PG(34:1),Phosphatidylglycerol (34:1) => (18:1/16:0),[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O)(=O)O,646.43499999999995
FABP1,PG(34:2),Phosphatidylglycerol (34:2) => (18:1/16:1),[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O)(=O)O,644.55500000000006
FABP1,PG(34:2),Phosphatidylglycerol (34:2) => (16:1/18:1),[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O)(=O)O,644.55500000000006
FABP1,PG(35:2),Phosphatidylglycerol (35:2) => (18:1/17:1),[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O)(=O)O,657.71600000000001
FABP1,PG(35:2),Phosphatidylglycerol (35:2) => (17:1/18:1),[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O)(=O)O,657.71600000000001
FABP1,PG(36:2),Phosphatidylglycerol (36:2) => (18:1/18:1),[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O)(=O)O,670.05100000000004
FABP5,FA(16:1),hexadecenoate => (16:1),C(=C/CCCCCCCC)/CCCCCC(=O)O,237.37216666666666
FABP5,FA(17:1),heptadecenoate => (17:1),C(CCCCCCCC/C=C\CCCCCC)(=O)O,250.83216666666667
FABP5,FA(18:1),octadecenoate => (18:1),C(CCCCCCCCCCC/C=C\CCCC)(=O)O,264.114125
FABP5,FA(18:2),octadecadienoate => (18:2),C(CCCC/C=C\CCCC/C=C\CCCCC)(=O)O,262.54225000000002
FABP5,FA(19:1),nonadecenoate => (19:1),C(CCCCCCCC/C=C\CCCCCCCC)(=O)O,277.85424999999998
FABP5,FA(20:3),eicosatrienoate => (20:3),C(CCCCC/C=C\C/C=C\C/C=C\CCCCCC)(=O)O,288.05166666666668
FABP5,FA(20:4),eicosatetraenoate => (20:4),C(O)(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC,286.35614285714286
FABP5,FA(20:5),eicosapentaenoate => (20:5),C(CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)(=O)O,284.98666666666662
FABP5,FA(22:4),docosatetraenoate => (22:4),C(O)(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC,286.35614285714286
FABP5,FA(22:5),docosapentaenoate => (22:5),C(CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC)(=O)O,312.07
FABP7,FA(16:1),hexadecenoate => (16:1),C(=C/CCCCCCCC)/CCCCCC(=O)O,237.37216666666666
FABP7,FA(17:1),heptadecenoate => (17:1),C(CCCCCCCC/C=C\CCCCCC)(=O)O,250.83216666666667
FABP7,FA(18:1),octadecenoate => (18:1),C(CCCCCCCCCCC/C=C\CCCC)(=O)O,264.114125
FABP7,FA(18:2),octadecadienoate => (18:2),C(CCCC/C=C\CCCC/C=C\CCCCC)(=O)O,262.54225000000002
