SmileGlobal,SmileFragment,LTPProtein,ProteinDomain,FullIdentityOfLipid,Lipid,Screen,Novel
0,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCCC)=O)(=O)O,RLBP1,CRAL-TRIO,Bismonoacylglycerolphosphate (37:2);Phosphatidylglycerol (37:2) => (19:1/18:1),PG/BMP(37:2),in vitro,new
0,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)(=O)O,RLBP1,CRAL-TRIO,Phosphatidylglycerol (34:3);Bismonoacylglycerolphosphate (34:3) => (16:1/18:2),PG/BMP(34:3),in vitro,new
[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCCC)=O)(=O)O,0,RLBP1,CRAL-TRIO,Phosphatidylglycerol (38:2);Bismonoacylglycerolphosphate (38:2) => (19:1/19:1),PG/BMP(38:2),in vitro,new
0,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCCC)=O)(=O)O,RLBP1,CRAL-TRIO,Bismonoacylglycerolphosphate (37:1);Phosphatidylglycerol (37:1) => (19:1/18:0),PG/BMP(37:1),in vitro,new
0,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O)(=O)O,SCP2,scp2,Phosphatidylglycerol (34:2);Bismonoacylglycerolphosphate (34:2) => (16:1/18:1),PG/BMP(34:2),in vitro,new
0,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCC)=O)(=O)O,SCP2,scp2,Bismonoacylglycerolphosphate (33:1);Phosphatidylglycerol (33:1) => (17:1/16:0),PG/BMP(33:1),in vitro,new
0,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCC)=O)(=O)O,SCP2,scp2,Bismonoacylglycerolphosphate (30:1);Phosphatidylglycerol (30:1) => (16:1/14:0),PG/BMP(30:1),in vitro,new
0,C(OP(OCCN)(O)=O)[C@]([H])(OC(=O)CCCCCCC/C=C\CCCCCC)CO,SCP2D1,scp2,Lysophosphatidylethanolamine (16:1);Phosphatidylethanolamine (O-16:1),PE(O-16:1)/LPE(16:1),in vitro,new
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(O)COCCCCCCC/C=C\C/C=C\C/C=C\CCCCC,0,SCP2D1,scp2,Lysophosphatidylcholine (20:3);Phosphatidylcholine (O-20:3),PC(O-20:3)/LPC(20:3),in vitro,new
[C@](COP(=O)(O)OCCN)([H])(O)COCCCCCCCC/C=C\CCCCCCCC,0,SCP2D1,scp2,Lysophosphatidylethanolamine (18:1);Phosphatidylethanolamine (O-18:1),PE(O-18:1)/LPE(18:1),in vitro,new
[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O)(=O)O,0,SCP2D1,scp2,Bismonoacylglycerolphosphate (36:2);Phosphatidylglycerol (36:2) => (18:1/18:1),PG/BMP(36:2),in vitro,new
0,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O)(=O)O,SCP2D1,scp2,Phosphatidylglycerol (34:2);Bismonoacylglycerolphosphate (34:2) => (16:1/18:1),PG/BMP(34:2),in vitro,new
0,[C@]([H])(OC(CCCCCCCCC/C=C\CCCCCC)=O)(COP(=O)(O)OC[C@@]([H])(O)CO)COC(CCCCCCCCCCCCCCC)=O,SCP2D1,scp2,Phosphatidylglycerol (34:1);Bismonoacylglycerolphosphate (34:1) => (18:1/16:0),PG/BMP(34:1),in vitro,new
0,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCC)=O)(=O)O,SCP2D1,scp2,Bismonoacylglycerolphosphate (33:1);Phosphatidylglycerol (33:1) => (17:1/16:0),PG/BMP(33:1),in vitro,new
0,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCC)=O)(=O)O,SCP2D1,scp2,Phosphatidylglycerol (32:1);Bismonoacylglycerolphosphate (32:1) => (16:1/16:0),PG/BMP(32:1),in vitro,new
0,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O)(=O)O,SCP2D1,scp2,Phosphatidylglycerol (35:1);Bismonoacylglycerolphosphate (35:1) => (19:1/16:0),PG/BMP(35:1),in vitro,new
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC)=O)COCCCCCCCC/C=C\CCCCCC,0,STARD2,START,Phosphatidylcholine (O-36:5);Lysophosphatidylcholine (36:5),PC(O-36:5)/LPC(36:5),in vitro,new
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCC/C=C\C/C=C\C/C=C\C/C=C\CC)=O)COCCCCCCC/C=C\C/C=C\CCCCCC,0,STARD2,START,Phosphatidylcholine (O-36:6);Lysophosphatidylcholine (36:6),PC(O-36:6)/LPC(36:6),in vitro,new
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCCC)=O)COC(CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC)=O,0,STARD2,START,Phosphatidylcholine (O-34:4);Lysophosphatidylcholine (34:4),PC(O-34:4)/LPC(34:4),in vitro,new
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCC/C=C\C/C=C\C/C=C\C/C=C\CC)=O)COCCCCCCCCCCCCCCCCCC,0,STARD2,START,Lysophosphatidylcholine (36:4);Phosphatidylcholine (O-36:4),PC(O-36:4)/LPC(36:4),in vitro,new
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\C/C=C\C/C=C\CC)=O)COCCCCC/C=C\C/C=C\CCCCCC,0,STARD2,START,Lysophosphatidylcholine (34:5);Phosphatidylcholine (O-34:5),PC(O-34:5)/LPC(34:5),in vitro,new
[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCC)=O)(=O)O,0,STARD10,START,Phosphatidylglycerol (34:1);Bismonoacylglycerolphosphate (34:1),PG/BMP(34:1),in vitro,new
[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCC)=O)COC(CCCCCCCCCCCCCCCC)=O)(=O)O,0,STARD10,START,Phosphatidylglycerol (32:1);Bismonoacylglycerolphosphate (32:1),PG/BMP(32:1),in vitro,new
[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\C/C=C\CCCC)=O)COC(CCCCCCCCCCCCCC)=O)(=O)O,0,STARD10,START,Bismonoacylglycerolphosphate (32:2);Phosphatidylglycerol (32:2),PG/BMP(32:2),in vitro,new
[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCC/C=C\C/C=C\C/C=C\CCCCC)=O)COC(CCCCCCCCCCC)=O)(=O)O,0,STARD10,START,Phosphatidylglycerol (32:3);Bismonoacylglycerolphosphate (32:3) => (16:2/16:1),PG/BMP(32:3),in vitro,new
0,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCCCCCC)=O)(=O)O,STARD10,START,Phosphatidylglycerol (28:1);Bismonoacylglycerolphosphate (28:1) => (16:1/12:0),PG/BMP(28:1),in vitro,new
0,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCC)=O)(=O)O,TTPA,CRAL-TRIO,Phosphatidylglycerol (32:1);Bismonoacylglycerolphosphate (32:1) => (16:1/16:0),PG/BMP(32:1),in vitro,new
0,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCC)=O)(=O)O,TTPA,CRAL-TRIO,Bismonoacylglycerolphosphate (33:1);Phosphatidylglycerol (33:1) => (17:1/16:0),PG/BMP(33:1),in vitro,new
[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCC/C=C\CCCCCC)=O)(=O)O,0,TTPA,CRAL-TRIO,Bismonoacylglycerolphosphate (32:2);Phosphatidylglycerol (32:2) => (16:1/16:1),PG/BMP(32:2),in vitro,new
0,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCC)=O)(=O)O,TTPA,CRAL-TRIO,Bismonoacylglycerolphosphate (33:2);Phosphatidylglycerol (33:2) => (16:1/17:1),PG/BMP(33:2),in vitro,new
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(O)COCCCCCCCC/C=C\CCCCCCCC,0,TTPAL,CRAL-TRIO,Phosphatidylcholine (O-18:1);Lysophosphatidylcholine (18:1),PC(O-18:1)/LPC(18:1),in vitro,new
[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCCC)=O)(=O)O,0,TTPAL,CRAL-TRIO,Bismonoacylglycerolphosphate (38:2);Phosphatidylglycerol (38:2) => (19:1/19:1),PG/BMP(38:2),in vitro,new
0,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCC)=O)(=O)O,TTPAL,CRAL-TRIO,Bismonoacylglycerolphosphate (30:1);Phosphatidylglycerol (30:1) => (14:1/16:0),PG/BMP(30:1),in vitro,new
0,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)(=O)O,TTPAL,CRAL-TRIO,Bismonoacylglycerolphosphate (34:3);Phosphatidylglycerol (34:3) => (16:1/18:2),PG/BMP(34:3),in vitro,new
0,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCC)=O)COC(CCCCCCCCCCC)=O)(=O)O,TTPAL,CRAL-TRIO,Phosphatidylglycerol (29:1);Bismonoacylglycerolphosphate (29:1) => (17:1/12:0),PG/BMP(29:1),in vitro,new
[C@](CO[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)([H])(NC(CCCCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,0,GLTP,GLTP,Hexosyl ceramide (d42:1) => (d18:1/24:0);Hexosyl ceramide (DH42:1) => (DH18:1/24:0),HexCer(d*42:1),in vitro,known
[C@](CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)([H])(NC(CCCCCCCCCCCCC/C=C\CCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,0,GLTP,GLTP,Hexosyl ceramide (d42:2) => (d18:1/24:1);Hexosyl ceramide (DH42:2) => (DH18:1/24:1),HexCer(d*42:2),in vitro,known
[C@](CO[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)([H])(NC(CCCCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,0,GLTP,GLTP,Hexosyl ceramide (t42:1);Hexosyl ceramide (d42:1-OH),HexCer(t*42:1),in vitro,known
[C@](CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)([H])(NC(CCCCCCCCCCCCC/C=C\CCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,0,GLTP,GLTP,Hexosyl ceramide (t42:2);Hexosyl ceramide (d42:2-OH),HexCer(t*42:2),in vitro,known
[C@](COP(=O)(O)OCCN)([H])(O)COC(CCCCCCC/C=C\CCCCCC)=O,0,GLTP,GLTP,Lysophosphatidylethanolamine (16:1);Phosphatidylethanolamine (O-16:1),PE(O-16:1)/LPE(16:1),in vitro,new
[C@](CO[C@H]1[C@H](O)[C@@H](OS(=O)(O)=O)[C@@H](O)[C@@H](CO)O1)([H])(NC(CCCCCCCCCCCCC/C=C\CCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,0,GLTP,GLTP,Sulfohexosyl ceramide (d42:2);Sulfohexosyl ceramide (DH42:2),SHexCer(d*42:2),in vitro,new
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,0,GLTPD1,GLTP,Sphingomyelin (d34:1);Sphingomyelin (DH34:1),SM(d*34:1),in vitro,new
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,0,GLTPD1,GLTP,Sphingomyelin (d40:1);Sphingomyelin (DH40:1),SM(d*40:1),in vitro,new
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCC/C=C\CCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCC,0,GLTPD1,GLTP,Sphingomyelin (d40:2);Sphingomyelin (DH40:2),SM(d*40:2),in vitro,new
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCC/C=C\CCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,0,GLTPD1,GLTP,Sphingomyelin (d42:2);Sphingomyelin (DH42:2),SM(d*42:2),in vitro,new
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC)=O)COCCCCCCCC/C=C\CCCCCC,0,STARD2,START,Phosphatidylcholine (O-36:5); Lysophosphatidylcholine (36:5),PC(O-36:5)/LPC(36:5),in cellulo,new
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O)COCCCCCCCCCCCCCCCC,0,STARD2,START,Lysophosphatidylcholine (38:5);Phosphatidylcholine (O-38:5),PC(O-38:5)/LPC(38:5),in vitro,new
0,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O)(=O)O,TTPA,CRAL-TRIO,Phosphatidylglycerol (34:2);Bismonoacylglycerolphosphate (34:2) => (16:1/18:1),PG/BMP(34:2),in vitro,new
